city_id,city_name,state_id
1400,Green Bay,5869
1348,Madison,5869
1374,Wisconsin Dells,5869
1091,Puyallup,5076
1076,Anaheim,5090
1635,Naples,5314
1245,Buena Park,5090
1736,Los Angeles,5090
1551,Riverside,5090
1813,Upland,5090
1143,San Dimas,5090
1305,San Diego,5090
1828,Irvine,5090
1662,Palm Springs,5090
1603,Phillips,5869
1413,West Allis,5869
1032,Lake Gregory,5090
1530,Escondido,5090
1932,San Jose,5090
1208,Carlsbad,5090
1536,Milwaukee,5869
1723,Vista,5090
1255,Santa Barbara,5090
1574,Angels Camp,5090
1835,Universal City,5090
1717,Aurora,5201
1542,Santa Monica,5090
1148,Egg Harbor Twp.,5927
1344,Orlando,5314
1175,Dania Beach,5314
1347,Stuttgart,5270
1443,Cherry Hill,5927
1462,Jacksonville,5314
1905,Santa Clara,5090
1355,Jackson,5927
1436,Marlton,5927
1769,Bayonne,5927
1313,Vallejo,5090
1478,Tulsa,5069
1506,Sewell,5927
1699,Gilroy,5090
1102,Pleasanton,5090
1660,Sacramento,5090
1929,Seaside Heights,5927
1540,Silver Springs,5314
1539,Garfield,5927
1326,Roseville,5090
1488,Toms River,5927
1111,Twin Lakes,5869
1083,Vernon,5927
1564,Clementon,5927
1363,Egg Harbor Township,5927
1991,Piscataway,5927
1734,Pt. Pleasant Beach,5927
1583,South Toms River,5927
1557,Pomona,5927
1799,Clovis,5090
1743,Arlington,5115
1999,Ocean,5927
1288,York,5927
1234,Concord,5090
1856,Ocean City,5927
1592,Amarillo,5115
1629,Oklahoma City,5069
1360,Santa Cruz,5090
1693,Ligonier,5025
1619,Fairfield,5927
1359,Thorofare,5927
1110,Farmingdale,5954
1657,Bayville,5927
1767,Williamstown,5927
1206,Mason,5693
1883,Union City,5693
1138,Arroyo Grande,5090
1507,Jefferson City,5309
1168,Redding,5090
1379,Ringwood,5927
1513,Wildwood,5927
1393,Kansas City,5309
1529,Montgomery,5309
1136,Mt. Laurel,5927
1927,Oshkosh,5869
1740,Tahlequah,5069
1956,Fresno,5090
1733,Atlantic City,5927
1618,Scotch Plains,5927
1935,Rye,5954
1774,Hope,5927
1617,Lyndhurst,5927
1108,Louisville,5293
1968,Wayne,5927
1659,Little Rock,5270
1446,Oakland,5090
1858,Staffordville,5927
1275,Oak Ridge,5927
1532,Hasbrouck Heights,5927
1801,Gibsonton,5927
1741,Greenfield,5309
1318,Pensacola,5314
1054,Branson,5309
1314,Livermore,5090
1566,Stilwell,5069
1573,Barstow,5090
1714,Hope,5270
1401,San Francisco,5090
1653,El Monte,5090
1196,West Orange,5927
1419,Indio,5090
1346,Vineland,5927
1420,North Wildwood,5927
1981,Perris,5090
1095,South Orange,5927
1272,San Bernadino,5090
1977,Glen Mills,5927
1840,El Cajon,5090
1580,Union City,5772
1930,Wantage,5927
1285,Mesquite,5115
1990,Chula Vista,5090
1684,Ventura,5090
1651,Syracruse,5954
1895,Donegal,5025
1959,Tannersville,5025
1960,Redlands,5090
1671,Des Moines,5885
1161,Wewoka,5069
1270,Fountain Valley,5090
1022,Gurnee,5417
1135,Black River Falls,5869
1508,Mason City,5885
1681,Denver,5201
1432,Hot Springs,5270
1403,Wisconsin Dells,5693
1483,Jensen Beach,5927
1297,Jacksonville Beach,5314
1517,Arcadia,5090
1633,South Amboy,5927
1486,Lebanon,5927
1731,Hershey,5025
999,Monroe Twp.,5927
1103,Carson,5090
1113,Cape May,5927
1679,Doswell,5630
1047,Stockton,5090
1535,Hacienda Heights,5090
1493,Palmdale,5090
1219,Winter Haven,5314
1090,Pasadena,5090
1661,Wenatchee,5076
1253,Ocala,5314
1304,Clearwater,5314
1071,Tampa,5314
1817,St. Augustine,5314
1910,Daytona Beach,5314
1711,Hackensack,5927
1772,Kissimmee,5314
1609,Springhill,5314
1412,Miami,5314
1394,Hollywood,5314
1712,Ontario,5090
1820,Alhambra,5090
1811,West Palm Beach,5314
1073,Carver,5061
1545,Hopkinsville,5293
1668,Bradenton,5314
1154,Austin,5115
1680,St. Agustine,5314
1487,Florida City,5314
1260,Lake Worth,5314
1837,Seattle,5076
1581,Panama City,5314
1204,Mechanicsburg,5025
1794,Pennsauken,5927
1953,Canton,5162
1525,Lake City,5314
1307,Cudahy,5090
1825,Tallahassee,5314
1340,Upper Saddle River,5927
1033,Frankenmuth,5162
1021,Elkins,5403
1613,Redmond,5076
